Expression	Value	Location	Type	
UserEQ	<array>	0x2000A280	EQ_STRUCT[8][8]	
b0L	Error (col 1): Unknown or ambiguous symbol. b0L			
b1L	Error (col 1): Unknown or ambiguous symbol. b1L			
b2L	Error (col 1): Unknown or ambiguous symbol. b2L			
a1L	Error (col 1): Unknown or ambiguous symbol. a1L			
a2L	Error (col 1): Unknown or ambiguous symbol. a2L			
bql	Error (col 1): Unknown or ambiguous symbol. bql			
[426]	0xDC	0x2000942A	uint8_t	
[427]	0xDC	0x2000942B	uint8_t	
[428]	0x0A	0x2000942C	uint8_t	
[429]	0x21	0x2000942D	uint8_t	
[430]	0x00	0x2000942E	uint8_t	
[431]	0x56	0x2000942F	uint8_t	
[432]	0x08	0x20009430	uint8_t	
[433]	0x00	0x20009431	uint8_t	
[434]	0x00	0x20009432	uint8_t	
[435]	0x54	0x20009433	uint8_t	
[436]	0x01	0x20009434	uint8_t	
[437]	0x00	0x20009435	uint8_t	
[438]	0x00	0x20009436	uint8_t	
[439]	0x14	0x20009437	uint8_t	
[440]	0x06	0x20009438	uint8_t	
[441]	0x40	0x20009439	uint8_t	
[442]	0x40	0x2000943A	uint8_t	
[443]	0x10	0x2000943B	uint8_t	
[444]	0x0A	0x2000943C	uint8_t	
[445]	0x21	0x2000943D	uint8_t	
[446]	0x00	0x2000943E	uint8_t	
[447]	0x5A	0x2000943F	uint8_t	
[448]	0x08	0x20009440	uint8_t	
[449]	0x00	0x20009441	uint8_t	
[450]	0x00	0x20009442	uint8_t	
[451]	0x58	0x20009443	uint8_t	
[452]	0x01	0x20009444	uint8_t	
[453]	0x00	0x20009445	uint8_t	
[454]	0x00	0x20009446	uint8_t	
[455]	0x18	0x20009447	uint8_t	
[456]	0x06	0x20009448	uint8_t	
[457]	0x40	0x20009449	uint8_t	
[458]	0x50	0x2000944A	uint8_t	
[459]	0x10	0x2000944B	uint8_t	
[460]	0x0A	0x2000944C	uint8_t	
[461]	0x21	0x2000944D	uint8_t	
[462]	0x00	0x2000944E	uint8_t	
[463]	0x5E	0x2000944F	uint8_t	
[464]	0x08	0x20009450	uint8_t	
[465]	0x00	0x20009451	uint8_t	
[466]	0x00	0x20009452	uint8_t	
[467]	0x5C	0x20009453	uint8_t	
[468]	0x01	0x20009454	uint8_t	
[469]	0x00	0x20009455	uint8_t	
[470]	0x00	0x20009456	uint8_t	
[471]	0x1C	0x20009457	uint8_t	
[472]	0x06	0x20009458	uint8_t	
[473]	0x40	0x20009459	uint8_t	
[474]	0x50	0x2000945A	uint8_t	
